menu_id,restaurant_id,menu_name,category,price,width,length,height,popularity_score,notes
M001,R001,파스타샐러드,기타,9900,20,20,10,10,
M002,R001,통밀 수제 에그마요,기타,6800,15,15,10,10,
M003,R001,치아바타 리코타바질,기타,8900,13,25,10,10,
M004,R001,리코타치즈 샐러드,기타,9900,20,20,10,10,
M005,R001,통밀 햄치즈에그,기타,7500,15,15,10,5,
M006,R002,간딴삼겹 도시락,한식,10500,20,10,10,10,
M007,R002,간딴삼겹 도시락,한식,14000,20,10,10,7,
M008,R002,양념삼겹 고기만,한식,15000,20,10,10,7,
M009,R003,트러플 루꼴라 잠봉뵈르,기타,8700,20,12,7,10,
M010,R003,치킨 반미,기타,8000,20,12,7,10,
M011,R003,와우바게트,기타,8000,20,12,7,10,
M012,R003,달콤 메이플 잠봉뵈르,기타,8500,20,12,7,10,
M013,R003,잠봉뵈르,기타,8000,20,12,7,10,
M014,R003,핫 치킨반미매운맛1단계,기타,8500,20,12,7,10,
M015,R004,목살스테이크샐러드,기타,9900,20,20,10,5,간장소스에 재워 그릴에 구운 돼지목살
M016,R004,닭다리살스테이크샐러드,기타,9500,20,20,10,5,마늘간장소스에 재워 부드러운 닭다리살
M017,R005,스파이시포크 반미(돼지고기),기타,6500,25,10,10,7,
M018,R005,그릴드치킨 반미(닭고기),기타,6500,25,10,10,7,
M019,R005,베지테리언 반미(두부,오크라),기타,5500,25,10,10,7,
M020,R005,콜드컷반미(햄),기타,6000,25,10,10,5,
M021,R006,밀 떡볶이,한식,4500,20,10,7,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M022,R006,가래떡 떡볶이,한식,4500,20,10,7,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M023,R006,순대,한식,5000,20,10,5,7,
M024,R007,꿈떡 기본떡볶이,한식,7000,15,15,10,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M025,R007,꿈떡 로제떡볶이,한식,8000,15,15,10,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M026,R008,육연비빔밥,한식,7900,13,13,8,7,"계란노른자, 소스를 담을 추가 용기가 필요해요"
M027,R008,육회,한식,11900,17,15,5,7,"계란노른자, 소스를 담을 추가 용기가 필요해요"
M028,R008,육회비빔밥,한식,6900,13,13,8,10,"계란노른자, 소스를 담을 추가 용기가 필요해요"
M029,R009,직화제육볶음(도시락),한식,9000,15,10,5,10,"반찬4종, 밥 담을 추가 용기가 필요해요"
M030,R010,튀김오뎅(5p),한식,1700,15,8,5,5,
M031,R010,치즈떡볶이,한식,6000,17,15,5,7,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M032,R010,신전떡볶이,한식,4000,17,15,5,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M033,R011,치즈제육유부 4P,한식,7200,15,10,5,10,
M034,R011,쫄면,한식,6000,17,17,7,10,
M035,R011,정직냉모밀,한식,6800,17,17,7,10,
M036,R011,제육유부 4P,한식,6200,15,10,5,10,
M037,R011,정직유부,한식,4500,15,10,5,10,
M038,R012,활어조밥 (12pcs),일식,18000,20,15,5,5,
M039,R012,도로 Set (12pcs),일식,29000,20,15,5,5,
M040,R012,특미조밥 (5종 12pcs),일식,12000,20,15,5,7,
M041,R012,특선조밥 (5종 12pcs),일식,17000,20,15,5,5,
M042,R012,특진조밥 (5종 12pcs),일식,22000,20,15,5,5,
M043,R013,샹니마라탕(1인 기준),중식,11900,20,20,10,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요. (무게마다 가격이 달라질 수 있습니다.)
M044,R013,꿔바로우(소),중식,12000,15,10,7,7,
M045,R013,마라샹궈(소),중식,17900,20,20,10,10,무게마다 가격이 달라질 수 있습니다.
M046,R014,크뽕,중식식,10900,20,20,10,5,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M047,R014,고기차뽕,중식,11500,20,20,10,5,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M048,R014,일뽕,중식,9000,20,20,10,5,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M049,R014,차뽕,중식,9000,20,20,10,5,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M050,R014,고기일뽕,중식,11500,20,20,10,5,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M051,R015,미나리 꼬막비빔밥,한식,13500,17,17,7,10,
M052,R015,푸팟퐁커리게살쮺(반반쮺),한식,16500,15,10,7,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M053,R015,치즈 쉬림프 비빔 포케,기타,13000,17,17,7,10,
M054,R015,단호박죽,한식,10500,15,10,7,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M055,R015,쇠고기야채죽,한식,11500,15,10,7,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M056,R015,낙지김치죽 (해장),한식,12000,15,10,7,5,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M057,R016,진매알밥,한식,6400,17,17,7,7,
M058,R016,순한알밥,한식,5900,17,17,7,7,
M059,R016,약매알밥,한식,6200,17,17,7,10,
M060,R016,매콤알밥,한식,6200,17,17,7,5,
M061,R016,진진매알밥,한식,6700,17,17,7,5,
M062,R016,카레알밥,한식,6700,17,17,7,5,
M063,R016,짜장알밥,한식,6700,17,17,7,5,
M064,R017,베이컨 크림 스파게티,양식,9800,15,15,10,7,
M065,R017,마늘소테,양식,9600,15,15,10,5,
M066,R017,퐁듀소테,양식,11400,15,15,10,5,
M067,R017,타코샐러드,양식,9800,15,15,10,5,
M068,R017,치즈오븐스파게티,양식,8600,15,15,10,5,
M069,R017,떠먹는피자팬치즈,양식,8900,15,15,10,5,
M070,R018,꿔바로우(미니),중식,9900,10,15,5,10,
M071,R018,샹츠마라탕(1인기준),중식,12900,20,20,10,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요. (무게마다 가격이 달라질 수 있습니다.)
M072,R018,샹츠마라샹궈,중식,21900,20,20,10,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요. (무게마다 가격이 달라질 수 있습니다.)
M073,R019,분짜,기타,11500,20,20,10,10,
M074,R019,반쎄오,기타,14000,20,20,10,10,
M075,R019,쌀국수,기타,9000,15,15,10,7,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M076,R019,퍼싸오 볶음쌀국수,기타,15,15,10,5,
M077,R019,분타이 얼큰쌀국수,기타,15,15,10,5,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M078,R019,마라쌀국수,기타,15,15,10,5,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M079,R020,Pho(양지쌀국수),기타,15,15,10,5,10,음식이 뜨거우니 알맞은 종류의 용기를 준비해주세요.
M080,R020,분짜,기타,15,15,10,5,10,